rdf:type,schema:identifier,schema:name,schema:alternateName,https://sabae.cc/#example,https://sabae.cc/#priority,https://sabae.cc/#yomi@ja,schema:category@ja,https://sabae.cc/#format@ja,schema:description@ja,https://sabae.cc/#yomi@en,schema:category@en,https://sabae.cc/#format@en,schema:description@en
schema:DefiedTerm,63,FOR,,FOR I=0 TO 10:?I:NEXT,,フォー,プログラム,FOR 変数=数1 TO 数2 {STEP 数3}:コマンド:NEXT,変数に数1をいれ、数2になるまで数3ずつ増やしながらNEXTまでをくりかえす （STEPは省略可、6段まで）,for,Program,FOR var=num1 TO num2 {STEP num3} / NEXT,"set num1 to var, execute the loop to the NEXT until var reach num2 by step num3 (you can omit STEP, nest limit:6)"
schema:DefiedTerm,64,TO,,FOR I=0 TO 10:?I:NEXT,,トゥー,プログラム,FOR 変数=数1 TO 数2 {STEP 数3}:コマンド:NEXT,変数に数1をいれ、数2になるまで数3ずつ増やしながらNEXTまでをくりかえす （STEP省略時は数3は1、6段まで）,to,Program,FOR var=num1 TO num2 {STEP num3} / NEXT,"set num1 to var, execute the loop to the NEXT until var reach num2 by step num3 (you can omit STEP, nest limit:6)"
schema:DefiedTerm,65,STEP,,FOR I=0 TO 10:?I:NEXT,,ステップ,プログラム,FOR 変数=数1 TO 数2 STEP 数3:コマンド:NEXT,変数に数1をいれ、数2になるまで数3ずつ増やしながらNEXTまでをくりかえす （STEPは省略可、6段まで）,step,Program,FOR var=num1 TO num2 {STEP num3} / NEXT,"set num1 to var, execute the loop to the NEXT until var reach num2 by step num3 (you can omit STEP, nest limit:6)"
schema:DefiedTerm,66,NEXT,,FOR I=0 TO 10:?I:NEXT,,ネクスト,プログラム,FOR 変数=数1 TO 数2 {STEP 数3}:コマンド:NEXT,変数に数1をいれ、数2になるまで数3ずつ増やしながらNEXTまでをくりかえす （STEPは省略可、6段まで）,next,Program,FOR var=num1 TO num2 {STEP num3} / NEXT,"set num1 to var, execute the loop to the NEXT until var reach num2 by step num3 (you can omit STEP, nest limit:6)"
schema:DefiedTerm,67,POS,,"?POS(0),POS(1)",,ポジション,テキスト,POS({数}),カーソル位置を返す（数、省略時または0:X+Y*幅、1:X座標、2:Y座標） *ver1.4以上,position,Text,POS({n}),"return a positon of cursor (num 0:X+Y*W, 1:X, 2:Y, ommit:0)"
schema:DefiedTerm,68,DRAW,,"DRAW 1,5,10,15",,ドロー,グラフィック,"DRAW 数1,数2{,数3,数4}{,数5}","数1,数2の座標から数3,数4の座標へ線を引く（座標は最大63x47）、数5に0指定で線を消し、2指定で反転する、省略時または1指定で線を引く *ver1.4以上",draw,Graphics,"DRAW x1,y1{,x2,y2}{,n}","draw a line or a point (n 0:clear, 1:set, 2:reverse, ommit:1)"
schema:DefiedTerm,69,POINT,,"?POINT(1,5)",,ポイント,グラフィック,"POINT(数1,数2)","数1,数2の座標にDRAWで描かれた点または文字があるときに1、そうでないとき0を返す *ver1.4以上",point,Graphics,"POINT(x,y)",return a point on the screen or not
schema:DefiedTerm,70,OUT,,"OUT 1,1",,アウト,入出力,"OUT 数1{,数2}",外部出力OUT1-11に0または1を出力する 数2を省略でまとめて出力できる（数2に-1指定でINへ切り替え、-2指定でプルアップ付きINへ切り替え ※IN3は除く）,out,I/O,"OUT num1{,num2}","output num2 to the output pin specified num1 (num1:OUT1-11, you can set all states when you omit num2, if num2 equals -1 the output pin switch into the input pin, if num2 equals -2 the output pin switch into the input with pull-up)"
schema:DefiedTerm,71,IN,,"LET A,IN(1)",,イン,入出力,IN({数}),"IN0-10から入力する（0または1） 数を省略してまとめて入力できる （IN0,1,4,9はプルアップ、IN5-8,10-11はOUTで切り替え時使用可能、IN0,9はボタン）",in,I/O,IN({num}),"return 1 if when input terminal pin is high else 0 (num:0-11 (IN0/1/4/9 pull up, IN5-8,10-11:if switched, IN0,9:button), you can get all states when you omit num)"
schema:DefiedTerm,72,ANA,,?ANA(),,アナログ,入出力,ANA({数}),"外部入力の電圧(0V-3.3V)を0-1023の数値で返す(2:IN2、5-8:IN5-8(OUT1-4)、0,9:BTN、省略で0)",analog,I/O,ANA({num}),"return the value 0-1023 specified voltage of input terminal (2:IN2, 5-8:IN5-8(OUT1-4), 0,9:BTN, 0:omitted)"
schema:DefiedTerm,73,PWM,,"PWM 2,100",,ピー・ダブリュー・エム,入出力,"PWM 数1,数2{,数3}",外部出力OUT2-5に数2で0.01msec単位で指定するパルスを出力する（0-2000、周期20msec）、数3で周期を指定（省略時2000=20msec、マイナス値指定で周期1/480）,PWM,I/O,"PWM num1,num2{,num3}","output num2(0.01msec) length pulse in num3(if omit 2000) period to the output pin specified num1 (num1:OUT2-5, OUT2-4 same period)"
schema:DefiedTerm,74,CLV,CLEAR,CLV,,クリア・バリアブル,プログラム,CLV,変数、配列を全部0にする,clear variables,Program,CLV,clear (set to zero) variables and array variables
schema:DefiedTerm,75,CLEAR,CLV,CLEAR,,クリア,プログラム,CLEAR,変数、配列を全部0にする,clear,Program,CLEAR,clear (set to zero) variables and array variables
schema:DefiedTerm,76,CLK,,CLK,,クリア・キー,キー入力,CLK,キーバッファとキーの状態をクリアする,clear keys,Key input,CLK,clear key buffer and key status
schema:DefiedTerm,77,CLO,,CLO,,クリア・アウトプット,入出力,CLO,入出力ピンを初期状態に戻す,clear output,I/O,CLO,initialize the input and output pins
schema:DefiedTerm,78,ABS,,?ABS(-2),1,アブソリュート,計算,ABS(数),絶対値を返す（マイナスはプラスになる）,absolute,Calc,ABS(num),return the absolute value
schema:DefiedTerm,79,[],,[3]=1,1,アレイ,計算,[数],"配列（[0]から[101]までの102コの連続した変数として使える） LET[0],1,2,3で連続代入可能",array,Calc,[num],"array variables (from [0] to [101] 102 series variables) you can set in series using LET[0],1,2,3"
schema:DefiedTerm,80,GOSUB,GSB,GOSUB 100,,ゴーサブ,プログラム,GOSUB 行番号,戻り先をスタックに積み、数または式で指定した行番号に飛ぶ（ネストは30段まで）,gosub,Program,GOSUB linenum,move to linenum and execute after this command when RETURN/RTN (nest limit:30)
schema:DefiedTerm,81,GSB,GOSUB,GSB 100,,ゴーサブ,プログラム,GSB 行番号,戻り先をスタックに積み、数または式で指定した行番号に飛ぶ（ネストは30段まで）,gosub,Program,GSB linenum,move to linenum and execute after this command when RETURN/RTN (nest limit:30)
schema:DefiedTerm,82,RETURN,RTN,RETURN,,リターン,プログラム,RETURN,GOSUB/GSBの呼び出し元へ戻る,return,Program,RETURN,back to linunum last GOSUB/GSB called
schema:DefiedTerm,83,RTN,RETURN,RTN,,リターン,プログラム,RTN,GOSUB/GSBの呼び出し元へ戻る,return,Program,RTN,back to linunum last GOSUB/GSB called
schema:DefiedTerm,84,DEC,,"?DEC$(99,3)",,デシ,テキスト,"DEC$(数1{,数2})",PRINT内で、数を文字列にする（２番目の数は桁数、省略可）,deci,Text,"DEC$(num1{,num2})","In PRINT, return strings from num1 with beam specified num2 (you can omit num2)"
schema:DefiedTerm,85,#,,#FF,1,ハッシュ,計算,#16進数,16進数で数を表記する *この後THENを省略しA〜Fで始まるコマンドを使う場合 : で区切る,hash,Calc,#hexnum,"return the number specified in hexadecimal *if you omit THEN after this, use : to separate"
schema:DefiedTerm,86,HEX,,"?HEX$(255,2)",,ヘックス,テキスト,"HEX$(数1{,数2})",PRINT内で、数を16進数の文字列にする（２番目の数は桁数、省略可）,hex,Text,"HEX$(num1{,num2})","In PRINT, return hexadecimal strings from num1 with beam specified num2 (you can omit num2)"
schema:DefiedTerm,87,`,,`1010,1,バック・クォート,計算,`2進数,2進数で数を表記する,back quote,Calc,`binnum,return the number specified in binary number
schema:DefiedTerm,88,BIN,,"?BIN$(255,8)",,バイナリー,テキスト,"BIN$(数1{,数2})",PRINT内で、数を2進数の文字列にする（２番目の数は桁数、省略可）,binary,Text,"BIN$(num1{,num2})","In PRINT, return binary number strings from num1 with beam spcified num2 (you can omit num2)"
schema:DefiedTerm,89,&,,?3&1,4,アンパサンド,計算,数 & 数,論理積（ビット演算）,ampersand,Calc,x & y,return x logical and y (bit calculation)
schema:DefiedTerm,90,|,,?3|1,5,パイプ,計算,数 | 数,論理和（ビット演算）,pipe,Calc,x | y,return x logical or y (bit calculation)
schema:DefiedTerm,91,^,,?A^1,4,ハット,計算,数 ^ 数,排他的論理和（ビット演算）,hat,Calc,x ^ y,return x logical exclusive or y (bit calculation)
schema:DefiedTerm,92,>>,,?A>>1,4,シフト・ライト,計算,数 >> 数,右シフトする（ビット演算）,shift right,Calc,x >> y,return x shift down y bits (bit calculation)
schema:DefiedTerm,93,<<,,?A<<1,4,シフト・レフト,計算,数 << 数,左シフトする（ビット演算）,shift left,Calc,x << y,return x shift up y bits (bit calculation)
schema:DefiedTerm,94,~,,?~A,3,チルダ,計算,~数,ビット反転（ビット演算）,tlda,Calc,~x,return bit inverted x (bit calculation)
schema:DefiedTerm,95,COS,,?COS(90),1,コサイン,計算,COS(数),指定された数を角度の度数としてコサインの値の256倍を返す *ver1.4以上,cosine,Calc,COS(deg),return cosine number times 256 by degrees *for ver1.4 or later
schema:DefiedTerm,96,SIN,,?SIN(90),1,サイン,計算,SIN(数),指定された数を角度の度数としてサインの値の256倍を返す *ver1.4以上,sine,Calc,SIN(deg),return sine number times 256 by degrees *for ver1.4 or later
schema:DefiedTerm,97,STOP,,STOP,,ストップ,プログラム,STOP,プログラムを中断する,stop,Program,STOP,stop the program
schema:DefiedTerm,98,CONT,,CONT,,コンティニュー,プログラム,CONT,実行中の行や、中断した行を再度実行する,continue,Program,CONT,continue the same line or stop line
schema:DefiedTerm,99,SOUND,,?SOUND(),,サウンド,サウンド,SOUND(),音が再生中なら1、そうで無いとき0をを返す,sound,Sound,SOUND(),return 1 if sound playing else 0
schema:DefiedTerm,100,FREE,,?FREE(),,フリー,プログラム,FREE(),プログラムの残りメモリ数を返す,free,Program,FREE(),return free memory of program (up to 1024 bytes)
schema:DefiedTerm,101,VER,,?VER(),,バージョン,プログラム,VER({数}),IchigoJam BASICのバージョン番号を返す,version,Program,VER({num}),"n=0 or default: return the version number of IchigoJam BASIC (n=0 or default) 1: return the language number of IchigoJam BASIC(1:Japanese 2:Mongol, 3:Vietnam)"
schema:DefiedTerm,102,RENUM,,RENUM,,リナンバー,プログラム,"RENUM {数1{,数2}}",プログラムの行番号を数1(省略時は10)から数2(省略時は10)刻みにする。GOTO/GOSUBの飛び先は手で変更必要な場合がある,renumber,Program,"RENUM {num1{,num2}}","renumber the line number of program from num1 step num2 (num1:10, num2:10 if omit, you may have to change manually line number specified in GOTO/GOSUB)"
schema:DefiedTerm,103,LRUN,,LRUN 1,,ロードラン,ファイル,"LRUN {数1{,数2}}",ファイル数1のプログラムを読み込み後、実行する(数2が指定されていたらその行へGOTO),load and run,File,"LRUN {{num1},num2}",LOAD num1 and RUN or GOTO num2
schema:DefiedTerm,104,FILE,,?FILE(),,ファイル,ファイル,FILE(),最後にプログラムを読み込み、書き込み行った数を返す,file,File,FILE(),return the number of last using FILE
schema:DefiedTerm,105,LINE,,?LINE(),,ライン,プログラム,LINE(),現在実行中の行番号を返す（非実行時は0）,line,Program,LINE(),return the line number of last execution
schema:DefiedTerm,106,SRND,,SRND 0,,エス・ランダム,プログラム,SRND 数,種を指定して乱数を初期化する,S random,Program,SRND num,initialize the seed of random
schema:DefiedTerm,107,HELP,,HELP,,ヘルプ,メモリ,HELP,メモリマップを表示する,help,Memory,HELP,display the memory map
schema:DefiedTerm,108,PEEK,,?PEEK(#700),,ピーク,メモリ,PEEK(数),メモリ読み出し（キャラクターパターン0-#7FFなど）,peek,Memory,PEEK(num),read 1 byte number from the memory in address specified num2
schema:DefiedTerm,109,POKE,,"POKE #700,#FF",,ポーク,メモリ,"POKE 数,数","メモリへの書き込み（連続書き込み可能 POKE#700,1,2,3）",poke,Memory,"POKE num1,num2",write 1 byte num1 specified to the memory in address specified num2
schema:DefiedTerm,110,COPY,,"COPY #900,0,256",,コピー,メモリ,"COPY 数1,数2,数3",メモリコピー 数1のアドレスへ数2のアドレスから数3の長さ分コピー(数3マイナスでコピー方向が逆になる),copy,Memory,"COPY num1,num2,num3","memory copy from num1 to num2 length specified num3 (if num3 is minus, copy direction is inverted)"
